OG,category
COG0393,Function unknown
COG4055,Coenzyme metabolism
COG1943,Replication and repair
COG0861,Inorganic ion transport and metabolism
COG3010,Carbohydrate metabolism and transport
COG3011,Function unknown
COG3012,Function unknown
COG3013,Function unknown
COG3014,Function unknown
COG3015,Cell wall/membrane/envelope biogenesis
COG3016,Function unknown
COG3017,Cell wall/membrane/envelope biogenesis
COG3018,Function unknown
COG3019,General functional prediction only
COG0543,Coenzyme metabolism
COG0390,General functional prediction only
COG5271,General functional prediction only
COG4718,Function unknown
COG4719,Function unknown
COG4716,Function unknown
COG4717,Function unknown
COG4714,Function unknown
COG4715,Function unknown
COG4712,Function unknown
COG4713,Function unknown
COG4710,General functional prediction only
COG4711,Function unknown
COG1874,Carbohydrate metabolism and transport
COG1875,Signal transduction
COG2389,General functional prediction only
COG2388,General functional prediction only
COG1871,Cell motility
COG1872,Function unknown
COG1873,Function unknown
COG2383,Function unknown
COG2382,Inorganic ion transport and metabolism
COG0542,"Post-translational modification, protein turnover, chaperone functions"
COG2380,Function unknown
COG1878,General functional prediction only
COG2386,"Post-translational modification, protein turnover, chaperone functions"
COG2385,Cell cycle control and mitosis
COG2384,General functional prediction only
COG0723,Energy production and conversion
COG0722,Amino acid metabolism and transport
COG0721,Translation
COG0720,Coenzyme metabolism
COG0727,General functional prediction only
COG0726,Carbohydrate metabolism and transport
COG0725,Inorganic ion transport and metabolism
COG0724,General functional prediction only
COG5013,Energy production and conversion
COG0729,Cell wall/membrane/envelope biogenesis
COG0728,General functional prediction only
COG3467,General functional prediction only
COG0547,Amino acid metabolism and transport
COG0335,Translation
COG4430,Function unknown
COG4168,Defense mechanisms
COG1599,Replication and repair
COG4056,Coenzyme metabolism
COG3708,Function unknown
COG3709,Inorganic ion transport and metabolism
COG3704,Intracellular trafficing and secretion
COG3705,Amino acid metabolism and transport
COG3706,Signal transduction
COG0489,Cell cycle control and mitosis
COG3700,General functional prediction only
COG3701,Intracellular trafficing and secretion
COG3702,Intracellular trafficing and secretion
COG3703,Inorganic ion transport and metabolism
COG0733,General functional prediction only
COG0540,Nucleotide metabolism and transport
COG2255,Replication and repair
COG4051,Function unknown
COG5399,Function unknown
COG5398,Inorganic ion transport and metabolism
COG5395,Function unknown
COG5394,Function unknown
COG5397,Function unknown
COG5391,Intracellular trafficing and secretion
COG5393,Function unknown
COG3468,Cell wall/membrane/envelope biogenesis
COG0381,Cell wall/membrane/envelope biogenesis
COG0380,Carbohydrate metabolism and transport
COG0383,Carbohydrate metabolism and transport
COG0382,Coenzyme metabolism
COG4389,Replication and repair
COG0384,General functional prediction only
COG5159,"Post-translational modification, protein turnover, chaperone functions"
COG5158,Intracellular trafficing and secretion
COG4385,General functional prediction only
COG4384,Function unknown
COG4387,Function unknown
COG0434,General functional prediction only
COG0433,General functional prediction only
COG4380,Function unknown
COG0431,General functional prediction only
COG0430,RNA processing and modification
COG4549,Function unknown
COG4548,Inorganic ion transport and metabolism
COG4547,Coenzyme metabolism
COG4545,"Post-translational modification, protein turnover, chaperone functions"
COG4544,Function unknown
COG4542,Secondary structure
COG4541,Function unknown
COG4540,General functional prediction only
COG2721,Carbohydrate metabolism and transport
COG2720,Defense mechanisms
COG2723,Carbohydrate metabolism and transport
COG1529,Energy production and conversion
COG3630,Energy production and conversion
COG1523,Carbohydrate metabolism and transport
COG1520,Function unknown
