COG,p_value,Model
NOG67783,0.26494545719129436,Latitude
NOG134556,0.3142920935040907,Latitude
NOG263232,0.3432739043397536,Latitude
COG4767,0.36714130288231883,Latitude
COG2868,0.09491423600210336,Longitude
COG3053,0.3149634971932581,Longitude
NOG239218,0.30578974742178766,Longitude
NOG122107,0.35618997729299706,Longitude
COG4742,0.009965332913284202,Depth (m)
NOG40373,0.4307520217794173,Depth (m)
NOG85653,0.32909039513385147,Depth (m)
NOG146364,0.43823425440922303,Depth (m)
NOG113540,0.004906639663342116,Temperature (°C)
NOG119129,0.05411780870722858,Temperature (°C)
NOG84676,0.39795119922488265,Temperature (°C)
NOG136838,0.240685486711184,Temperature (°C)
NOG133612,0.24254055885505954,Salinity (PSU)
NOG263232,0.33281293112908916,Salinity (PSU)
NOG113540,0.3031053636112354,Salinity (PSU)
NOG122107,0.35903551218349106,Salinity (PSU)
COG2180,0.20709700872809383,Oxygen (µmol/kg)
NOG84000,0.3139579519937198,Oxygen (µmol/kg)
NOG236064,0.32711822396773993,Oxygen (µmol/kg)
COG5479,0.21646699869070113,Oxygen (µmol/kg)
NOG85828,0.03166056355517164,Nitrates (µmol/L)
NOG41209,0.38133017080670384,Nitrates (µmol/L)
NOG84676,0.3933486367371387,Nitrates (µmol/L)
NOG147568,0.33403472183826044,Nitrates (µmol/L)
NOG70778,0.29719985888030276,NO2 (µmol/L)
NOG119129,0.3482363505613417,NO2 (µmol/L)
NOG70204,0.37146030381993517,NO2 (µmol/L)
NOG16503,0.37280395747499506,NO2 (µmol/L)
NOG41209,0.229895561080927,PO4 (µmol/L)
COG4742,0.25876726080200313,PO4 (µmol/L)
NOG85828,0.27671850058583625,PO4 (µmol/L)
NOG84000,0.41920010436518323,PO4 (µmol/L)
COG4742,0.41662371020870315,Environmental Feature
NOG254000,0.40209166024571463,Environmental Feature
NOG40373,0.4330008838609154,Environmental Feature
NOG146364,0.4322324842036074,Environmental Feature
NOG44997,0.3910677911894159,Biome
NOG67783,0.41247949730188416,Biome
NOG239225,0.41298432714543754,Biome
NOG78253,0.40789774045933525,Biome
COG3053,0.3936853371188981,Region
NOG122107,0.3910783106411951,Region
COG1343,0.39465042209846035,Region
NOG81570,0.40297914809580815,Region
