COG,Name,Ocean core,Ocean core (prokaryotes),Gut core,Ocean core (epipelagic),Ocean core (mesopelagic)
COG0001,Glutamate-1-semialdehyde aminotransferase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0002,Acetylglutamate semialdehyde dehydrogenase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0003,Oxyanion-translocating ATPase,TRUE,TRUE,FALSE,TRUE,TRUE
COG0004,Ammonia permease,TRUE,TRUE,TRUE,TRUE,TRUE
COG0005,Purine nucleoside phosphorylase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0006,Xaa-Pro aminopeptidase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0007,Uroporphyrinogen-III methylase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0008,Glutamyl- and glutaminyl-tRNA synthetases,TRUE,TRUE,TRUE,TRUE,TRUE
COG0009,Putative translation factor (SUA5),TRUE,TRUE,TRUE,TRUE,TRUE
COG0010,"Arginase/agmatinase/formimionoglutamate hydrolase, arginase family",TRUE,TRUE,TRUE,TRUE,TRUE
COG0011,Uncharacterized conserved protein,TRUE,TRUE,FALSE,TRUE,TRUE
COG0012,"Predicted GTPase, probable translation factor",TRUE,TRUE,TRUE,TRUE,TRUE
COG0013,Alanyl-tRNA synthetase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0014,Gamma-glutamyl phosphate reductase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0015,Adenylosuccinate lyase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0016,Phenylalanyl-tRNA synthetase alpha subunit,TRUE,TRUE,TRUE,TRUE,TRUE
COG0017,Aspartyl/asparaginyl-tRNA synthetases,TRUE,TRUE,TRUE,TRUE,TRUE
COG0018,Arginyl-tRNA synthetase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0019,Diaminopimelate decarboxylase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0020,Undecaprenyl pyrophosphate synthase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0021,Transketolase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0022,"Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, beta subunit",TRUE,TRUE,TRUE,TRUE,TRUE
COG0023,Translation initiation factor 1 (eIF-1/SUI1) and related proteins,TRUE,TRUE,TRUE,TRUE,TRUE
COG0024,Methionine aminopeptidase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0025,NhaP-type Na+/H+ and K+/H+ antiporters,TRUE,TRUE,TRUE,TRUE,TRUE
COG0026,Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase),TRUE,TRUE,TRUE,TRUE,TRUE
COG0027,Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase),TRUE,TRUE,TRUE,TRUE,TRUE
COG0028,"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",TRUE,TRUE,TRUE,TRUE,TRUE
COG0029,Aspartate oxidase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0030,Dimethyladenosine transferase (rRNA methylation),TRUE,TRUE,TRUE,TRUE,TRUE
COG0031,Cysteine synthase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0033,Phosphoglucomutase,TRUE,TRUE,FALSE,TRUE,TRUE
COG0034,Glutamine phosphoribosylpyrophosphate amidotransferase,TRUE,TRUE,TRUE,TRUE,TRUE
