Score,Model,Data
0.15930835970463264,Latitude,Function
0.38015515989543713,Latitude,Function
0.33547127358121975,Latitude,Function
0.1446272081390484,Latitude,Function
-0.013305890339042614,Latitude,Function
0.13506183477267697,Latitude,Function
-0.3241669467871362,Latitude,Function
0.03563491683411757,Latitude,Function
0.18509953247214694,Latitude,Function
0.25992355721014715,Latitude,Function
0.4325408203535237,Latitude,Function
0.2230628395589207,Latitude,Function
0.276437076710218,Latitude,Function
0.4856088086747613,Latitude,Function
0.18076848635898313,Latitude,Function
0.14110090644220907,Latitude,Function
-0.1293025653429476,Latitude,Function
0.05608608772232493,Latitude,Function
0.46180193063021135,Latitude,Function
0.2998480505155986,Latitude,Function
-0.02016206922845254,Longitude,Function
0.07419152530701734,Longitude,Function
0.1690228387225572,Longitude,Function
0.4626167017098508,Longitude,Function
-0.0373585662822844,Longitude,Function
0.11619933438810504,Longitude,Function
0.2404628635977113,Longitude,Function
0.2588606629060064,Longitude,Function
0.09894866507429823,Longitude,Function
-0.12477736266790718,Longitude,Function
-0.1416098354334625,Longitude,Function
0.08543503859353119,Longitude,Function
0.037711840458976575,Longitude,Function
0.22845867040468149,Longitude,Function
0.15980339649277608,Longitude,Function
0.36965215546295194,Longitude,Function
0.38334390697773235,Longitude,Function
0.35442569596071394,Longitude,Function
0.45541575907220333,Longitude,Function
0.07099353370838268,Longitude,Function
0.8347783959309131,Depth (m),Function
0.8211497828489633,Depth (m),Function
0.6786851401021503,Depth (m),Function
0.682134091444994,Depth (m),Function
0.6434519755136527,Depth (m),Function
0.72807852800664,Depth (m),Function
0.8252604438401062,Depth (m),Function
0.5160291640639131,Depth (m),Function
0.7587479865311941,Depth (m),Function
0.6073765506422437,Depth (m),Function
0.5757477621879044,Depth (m),Function
0.7310053632378923,Depth (m),Function
0.48971581961133137,Depth (m),Function
0.7141322763907656,Depth (m),Function
0.7157375554226737,Depth (m),Function
0.8893131142307986,Depth (m),Function
0.843254090731242,Depth (m),Function
0.7489899294864202,Depth (m),Function
0.5618733577946653,Depth (m),Function
0.8676780182788552,Depth (m),Function
0.750097914182674,Temperature (°C),Function
0.6823582985919573,Temperature (°C),Function
0.7693024121618222,Temperature (°C),Function
0.44587852121323335,Temperature (°C),Function
0.8015045615913758,Temperature (°C),Function
0.6755314315611051,Temperature (°C),Function
0.747974531551341,Temperature (°C),Function
0.7160795942963422,Temperature (°C),Function
0.7332018354458244,Temperature (°C),Function
0.7880035587373457,Temperature (°C),Function
0.719055264698626,Temperature (°C),Function
0.8342467855515957,Temperature (°C),Function
0.7283225437305284,Temperature (°C),Function
0.7943699246547091,Temperature (°C),Function
0.8011428980573694,Temperature (°C),Function
0.7557841285190167,Temperature (°C),Function
0.8771316204787798,Temperature (°C),Function
0.8504052913240708,Temperature (°C),Function
0.754771622184109,Temperature (°C),Function
0.778939638481326,Temperature (°C),Function
0.1644228651540579,Salinity (PSU),Function
0.4535406613292915,Salinity (PSU),Function
0.4564630695692615,Salinity (PSU),Function
-0.1625831304854879,Salinity (PSU),Function
-0.05627633154108613,Salinity (PSU),Function
0.039898724000491215,Salinity (PSU),Function
0.4700275185003925,Salinity (PSU),Function
-0.18211063415568884,Salinity (PSU),Function
0.006049359767419382,Salinity (PSU),Function
0.3462179357926297,Salinity (PSU),Function
-0.040560362155585006,Salinity (PSU),Function
0.1931104899749737,Salinity (PSU),Function
0.3656957075255045,Salinity (PSU),Function
0.294700824511517,Salinity (PSU),Function
0.1504325245169561,Salinity (PSU),Function
0.01123223376334015,Salinity (PSU),Function
-0.23779555276792697,Salinity (PSU),Function
0.19826912628454996,Salinity (PSU),Function
