Score,Model,Data
0.18021391852237256,Latitude,Phyla
0.38152681890814555,Latitude,Phyla
0.3537337767121387,Latitude,Phyla
0.40282570236358695,Latitude,Phyla
0.4369171180084055,Latitude,Phyla
0.40496995241935063,Latitude,Phyla
-0.246466882480334,Latitude,Phyla
0.28797359280017165,Latitude,Phyla
0.08688490040222352,Latitude,Phyla
0.22378153954842606,Latitude,Phyla
0.3759085800256099,Latitude,Phyla
0.12447963671492945,Latitude,Phyla
0.306607788402974,Latitude,Phyla
0.22420960837644888,Latitude,Phyla
0.08444797235763568,Latitude,Phyla
0.32780186981172155,Latitude,Phyla
-0.14024563254819777,Latitude,Phyla
0.22898157617152204,Latitude,Phyla
0.18360871393738565,Latitude,Phyla
-0.020424822199326398,Latitude,Phyla
0.4155631572588071,Longitude,Phyla
0.399042778486991,Longitude,Phyla
0.5413006064847758,Longitude,Phyla
0.4218093570985043,Longitude,Phyla
0.4423305690066187,Longitude,Phyla
0.31770378522989406,Longitude,Phyla
0.2550249479359422,Longitude,Phyla
0.38504826104166323,Longitude,Phyla
0.2236317162579785,Longitude,Phyla
0.30224847943078914,Longitude,Phyla
0.3616915886860599,Longitude,Phyla
0.3409308816612602,Longitude,Phyla
0.4301789124246981,Longitude,Phyla
0.48892342742366257,Longitude,Phyla
0.3963544637453481,Longitude,Phyla
0.3203800482769793,Longitude,Phyla
0.35673789431795067,Longitude,Phyla
0.4669442722947922,Longitude,Phyla
0.2718729038777018,Longitude,Phyla
0.4610468431011743,Longitude,Phyla
0.8337254540245393,Depth (m),Phyla
0.9156190215748228,Depth (m),Phyla
0.8559054472309409,Depth (m),Phyla
0.9398994094978794,Depth (m),Phyla
0.9696676206503055,Depth (m),Phyla
0.8470006037801203,Depth (m),Phyla
0.8922971770228557,Depth (m),Phyla
0.9469400719185388,Depth (m),Phyla
0.8296422300127989,Depth (m),Phyla
0.7934992227286126,Depth (m),Phyla
0.9427909461402277,Depth (m),Phyla
0.9002631925837474,Depth (m),Phyla
0.9383169215246261,Depth (m),Phyla
0.827012901169859,Depth (m),Phyla
0.9439188819486528,Depth (m),Phyla
0.8652544618820467,Depth (m),Phyla
0.7278221289313271,Depth (m),Phyla
0.7513901468628789,Depth (m),Phyla
0.8725630214950026,Depth (m),Phyla
0.842464776787154,Depth (m),Phyla
0.8573919953292306,Temperature (°C),Phyla
0.8218763249846666,Temperature (°C),Phyla
0.7066360693486574,Temperature (°C),Phyla
0.7147644469981635,Temperature (°C),Phyla
0.775168229731058,Temperature (°C),Phyla
0.46644983681073016,Temperature (°C),Phyla
0.7178491233548205,Temperature (°C),Phyla
0.4500722898600046,Temperature (°C),Phyla
0.7753592599158033,Temperature (°C),Phyla
0.838629133605524,Temperature (°C),Phyla
0.7300445195850308,Temperature (°C),Phyla
0.8829598896073675,Temperature (°C),Phyla
0.7924947890326937,Temperature (°C),Phyla
0.6138097097018886,Temperature (°C),Phyla
0.8132623029278809,Temperature (°C),Phyla
0.6297835130928092,Temperature (°C),Phyla
0.6854574183532858,Temperature (°C),Phyla
0.7763368776676568,Temperature (°C),Phyla
0.8397420898719757,Temperature (°C),Phyla
0.6547712407781419,Temperature (°C),Phyla
0.22222886058669866,Salinity (PSU),Phyla
-0.19855051403749369,Salinity (PSU),Phyla
0.4972823508523717,Salinity (PSU),Phyla
-0.17853112358364354,Salinity (PSU),Phyla
0.13357901496973879,Salinity (PSU),Phyla
0.36316152661616896,Salinity (PSU),Phyla
-0.005905631296279745,Salinity (PSU),Phyla
0.19644980374421395,Salinity (PSU),Phyla
0.10811099693967008,Salinity (PSU),Phyla
-0.0014171482207432362,Salinity (PSU),Phyla
0.31812055874265965,Salinity (PSU),Phyla
0.2380895048265902,Salinity (PSU),Phyla
0.13075259083152013,Salinity (PSU),Phyla
0.47014430375127725,Salinity (PSU),Phyla
0.09326191503706405,Salinity (PSU),Phyla
0.30284942279783256,Salinity (PSU),Phyla
0.27624674601985744,Salinity (PSU),Phyla
0.22812164289971482,Salinity (PSU),Phyla
0.4347464673174787,Salinity (PSU),Phyla
0.20023403607820078,Salinity (PSU),Phyla
0.48349960167777495,Oxygen (µmol/kg),Phyla
0.3574632350119521,Oxygen (µmol/kg),Phyla
0.6146631066565071,Oxygen (µmol/kg),Phyla
0.7310880431507989,Oxygen (µmol/kg),Phyla
0.6258613268629108,Oxygen (µmol/kg),Phyla
0.5716877958814044,Oxygen (µmol/kg),Phyla
0.7814053196109885,Oxygen (µmol/kg),Phyla
0.6571150718312053,Oxygen (µmol/kg),Phyla
0.34545476866879077,Oxygen (µmol/kg),Phyla
0.8200927782728092,Oxygen (µmol/kg),Phyla
0.6661421062699615,Oxygen (µmol/kg),Phyla
0.7729672350824779,Oxygen (µmol/kg),Phyla
0.7257214410842816,Oxygen (µmol/kg),Phyla
0.4953811957996981,Oxygen (µmol/kg),Phyla
0.6939757377335861,Oxygen (µmol/kg),Phyla
0.5635806668307572,Oxygen (µmol/kg),Phyla
0.7142842474870981,Oxygen (µmol/kg),Phyla
0.46596660561422665,Oxygen (µmol/kg),Phyla
0.7688015397737165,Oxygen (µmol/kg),Phyla
0.34241873387749955,Oxygen (µmol/kg),Phyla
0.8324242878781767,Nitrates (µmol/L),Phyla
0.6974976143807721,Nitrates (µmol/L),Phyla
0.6580147712662302,Nitrates (µmol/L),Phyla
0.4991356373165021,Nitrates (µmol/L),Phyla
0.730177142245376,Nitrates (µmol/L),Phyla
0.7249904784796644,Nitrates (µmol/L),Phyla
0.6780231786624029,Nitrates (µmol/L),Phyla
0.7899456282769526,Nitrates (µmol/L),Phyla
0.7187977464240651,Nitrates (µmol/L),Phyla
0.6048725553855154,Nitrates (µmol/L),Phyla
-1.7611307685558155,Nitrates (µmol/L),Phyla
0.41558912942940807,Nitrates (µmol/L),Phyla
0.7237293247563352,Nitrates (µmol/L),Phyla
0.8240760606752205,Nitrates (µmol/L),Phyla
0.7254652599937237,Nitrates (µmol/L),Phyla
0.663343027842366,Nitrates (µmol/L),Phyla
0.4303713367757741,Nitrates (µmol/L),Phyla
0.7451548030469487,Nitrates (µmol/L),Phyla
0.4684000979259617,Nitrates (µmol/L),Phyla
0.8097928824173948,Nitrates (µmol/L),Phyla
0.30747141534901723,NO2 (µmol/L),Phyla
-2.010703725236126,NO2 (µmol/L),Phyla
-0.4187955177708196,NO2 (µmol/L),Phyla
-0.03286058243447898,NO2 (µmol/L),Phyla
-0.0883932524784441,NO2 (µmol/L),Phyla
-0.6190891318176404,NO2 (µmol/L),Phyla
-10.242202713220601,NO2 (µmol/L),Phyla
-0.16728232237863438,NO2 (µmol/L),Phyla
0.1701219249192395,NO2 (µmol/L),Phyla
-0.05728552376252671,NO2 (µmol/L),Phyla
-1.2068107187968065,NO2 (µmol/L),Phyla
-0.7168359394115922,NO2 (µmol/L),Phyla
-0.23562986839067146,NO2 (µmol/L),Phyla
0.2540280873744818,NO2 (µmol/L),Phyla
0.05052640173207412,NO2 (µmol/L),Phyla
-0.6952263636363611,NO2 (µmol/L),Phyla
-0.15969209030804943,NO2 (µmol/L),Phyla
-0.07938128034209524,NO2 (µmol/L),Phyla
-0.13274825282698188,NO2 (µmol/L),Phyla
-0.039356546965576555,NO2 (µmol/L),Phyla
0.5889584440063209,PO4 (µmol/L),Phyla
0.7093042976407056,PO4 (µmol/L),Phyla
-0.3077099222867361,PO4 (µmol/L),Phyla
0.5838608590935833,PO4 (µmol/L),Phyla
0.6640911815891262,PO4 (µmol/L),Phyla
0.6784411294817139,PO4 (µmol/L),Phyla
0.6216245386273495,PO4 (µmol/L),Phyla
0.505370570856588,PO4 (µmol/L),Phyla
0.19378220217745046,PO4 (µmol/L),Phyla
0.728157119614215,PO4 (µmol/L),Phyla
0.6749477339524224,PO4 (µmol/L),Phyla
0.6506138792129597,PO4 (µmol/L),Phyla
0.6784161739933474,PO4 (µmol/L),Phyla
0.3859887117523456,PO4 (µmol/L),Phyla
0.7425104737727868,PO4 (µmol/L),Phyla
0.6813643726786545,PO4 (µmol/L),Phyla
0.8079833244697386,PO4 (µmol/L),Phyla
0.788647021259494,PO4 (µmol/L),Phyla
0.39473479682369317,PO4 (µmol/L),Phyla
0.775219607388719,PO4 (µmol/L),Phyla
0.7142857142857143,Environmental Feature,Phyla
0.6190476190476191,Environmental Feature,Phyla
0.8095238095238095,Environmental Feature,Phyla
0.47619047619047616,Environmental Feature,Phyla
0.9523809523809523,Environmental Feature,Phyla
0.8571428571428571,Environmental Feature,Phyla
0.7142857142857143,Environmental Feature,Phyla
0.7619047619047619,Environmental Feature,Phyla
0.6190476190476191,Environmental Feature,Phyla
0.5714285714285714,Environmental Feature,Phyla
0.7142857142857143,Environmental Feature,Phyla
0.7142857142857143,Environmental Feature,Phyla
0.6666666666666666,Environmental Feature,Phyla
0.5714285714285714,Environmental Feature,Phyla
0.5238095238095238,Environmental Feature,Phyla
0.5714285714285714,Environmental Feature,Phyla
0.7619047619047619,Environmental Feature,Phyla
0.7142857142857143,Environmental Feature,Phyla
0.47619047619047616,Environmental Feature,Phyla
0.6666666666666666,Environmental Feature,Phyla
0.47619047619047616,Biome,Phyla
0.5714285714285714,Biome,Phyla
0.5714285714285714,Biome,Phyla
0.5714285714285714,Biome,Phyla
0.6190476190476191,Biome,Phyla
0.6190476190476191,Biome,Phyla
0.5714285714285714,Biome,Phyla
0.5714285714285714,Biome,Phyla
0.6666666666666666,Biome,Phyla
0.6190476190476191,Biome,Phyla
0.6190476190476191,Biome,Phyla
0.5714285714285714,Biome,Phyla
0.5714285714285714,Biome,Phyla
0.42857142857142855,Biome,Phyla
0.6666666666666666,Biome,Phyla
0.6190476190476191,Biome,Phyla
0.7619047619047619,Biome,Phyla
0.6190476190476191,Biome,Phyla
0.47619047619047616,Biome,Phyla
0.7142857142857143,Biome,Phyla
0.47619047619047616,Region,Phyla
0.5714285714285714,Region,Phyla
0.5238095238095238,Region,Phyla
0.5238095238095238,Region,Phyla
0.6666666666666666,Region,Phyla
0.7142857142857143,Region,Phyla
0.5238095238095238,Region,Phyla
0.5714285714285714,Region,Phyla
0.3333333333333333,Region,Phyla
0.5714285714285714,Region,Phyla
0.38095238095238093,Region,Phyla
0.5714285714285714,Region,Phyla
0.42857142857142855,Region,Phyla
0.8571428571428571,Region,Phyla
0.47619047619047616,Region,Phyla
0.5238095238095238,Region,Phyla
0.5714285714285714,Region,Phyla
0.5714285714285714,Region,Phyla
0.47619047619047616,Region,Phyla
0.5238095238095238,Region,Phyla
