label,Amino acid metabolism and transport,Carbohydrate metabolism and transport,Cell cycle control and mitosis,Cell motility,Cell wall/membrane/envelope biogenesis,Chromatin structure and dynamics,Coenzyme metabolism,Cytoskeleton,Defense mechanisms,Energy production and conversion,Inorganic ion transport and metabolism,Intracellular trafficing and secretion,Lipid metabolism,Nucleotide metabolism and transport,"Post-translational modification, protein turnover, chaperone functions",RNA processing and modification,Replication and repair,Secondary structure,Signal transduction,Transcription,Translation,pangea_id,Environmental Feature,Biome,Region,Province,Latitude,Longitude,Depth (m),Temperature (°C),Salinity (PSU),Oxygen (µmol/kg),Nitrates (µmol/L),NO2 (µmol/L),PO4 (µmol/L)
TARA_004_DCM_0.22-1.6,0.08339071706867722,0.062390690336943756,0.0046137843574838465,0.020305239681020836,0.019106564032522925,0.011587102679344432,0.07673663159684967,0.00011609183740354699,0.010855442300145008,0.26334231078100706,0.012758851953639629,0.03642083705576614,0.008593768287183577,0.04044732944728604,0.050628085456918756,0.004276837689478929,0.057216331511991576,0.022394653568804965,0.009960376698677036,0.0983430251005061,0.10651532855834894,TARA_X000000368,(DCM) deep chlorophyll maximum layer (ENVO:01000326),Westerlies Biome,(NAO) North Atlantic Ocean [MRGID:1912],(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467],36.57,-6.54,38.7,16.2,36.6,,,,
TARA_004_SRF_0.22-1.6,0.0718649060199425,0.044458519171010645,0.0048221987873501545,0.030419200579531756,0.01643318536067234,0.004164161778000023,0.13182337969804686,0.000522866602477662,0.04099217316394826,0.3577060043017891,0.006394469252469485,0.0308099860342676,0.01471744730293466,0.05322612025072453,0.022452828973081273,0.0025656371753080033,0.05410815634306933,0.010416616255425342,0.007725678382537887,0.06285761385684291,0.031518850710569736,TARA_Y200000002,(SRF) surface water layer (ENVO:00002042),Westerlies Biome,(NAO) North Atlantic Ocean [MRGID:1912],(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467],36.55,-6.57,10.0,20.5,36.6,,,,
TARA_007_DCM_0.22-1.6,0.054857542097146175,0.0852694625469389,0.002646569790552749,0.029132799990938065,0.018208180252723475,0.003917359229059135,0.06294757959080981,1.7575020109272852e-05,0.03168696964406973,0.23147060085928162,0.010039904644032283,0.06318392630344447,0.012976632320698542,0.031793614190984754,0.03077991898538172,0.0012938431216709153,0.11499125012528319,0.022746107963880637,0.029139239562909206,0.09709672051077832,0.06580420324930698,TARA_A200000159,(DCM) deep chlorophyll maximum layer (ENVO:01000326),Westerlies Biome,(MS) Mediterranean Sea [MRGID:1905],"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]",37.04,1.95,41.7,17.4,,,,0.0,0.01
TARA_007_SRF_0.22-1.6,0.06511843329689561,0.09402033709772425,0.011055882143887103,0.0515157497435861,0.03065585870481324,0.00184384030190065,0.04817363465024612,1.7370418693713517e-05,0.03723612862231953,0.22949150851914538,0.012585527800849039,0.06436002936487792,0.016248940198267614,0.026749876620460022,0.018804207643056355,0.00030942341233469977,0.09457901964204096,0.034276187688065035,0.019198184023327538,0.09769150138192187,0.04606835872558719,TARA_A200000113,(SRF) surface water layer (ENVO:00002042),Westerlies Biome,(MS) Mediterranean Sea [MRGID:1905],"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]",37.02,1.95,7.5,23.8,37.5,,,0.0,0.06
TARA_009_DCM_0.22-1.6,0.07100351240622026,0.05700996525059205,0.0036180767302760428,0.023744840099768554,0.03076085358458865,0.0074294768447932934,0.042232824307562686,0.00015176101732235981,0.006716317617772252,0.20582362883090383,0.015060253260800408,0.031196749857684804,0.009062630502203689,0.03866065348688808,0.0467992927701078,0.0018852735779012841,0.06209943484764771,0.025462123103122222,0.016838820463556222,0.1400404594933338,0.1644030519469539,TARA_X000001036,(DCM) deep chlorophyll maximum layer (ENVO:01000326),Westerlies Biome,(MS) Mediterranean Sea [MRGID:1905],"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]",39.07,5.86,55.0,16.2,37.8,,,0.02,0.02
TARA_009_SRF_0.22-1.6,0.05059653477054707,0.07440000352330732,0.013000879437497045,0.06177114905452729,0.033828267403068255,0.005309951883763742,0.058023526728400165,0.0004131004635185664,0.04958216286503245,0.26176156782855053,0.017270945249917086,0.06143312044026382,0.018740337985119912,0.0374799947522416,0.02419911895946041,0.003476546574571952,0.08281535255183504,0.016697388830591058,0.018636531054098775,0.09182909787450134,0.018734421769186625,TARA_X000000950,(SRF) surface water layer (ENVO:00002042),Westerlies Biome,(MS) Mediterranean Sea [MRGID:1905],"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]",39.07,5.86,5.8,23.9,38.0,,,0.01,0.02
TARA_018_DCM_0.22-1.6,0.07337779619969982,0.036261144863523304,0.004662350073378821,0.01998899924030899,0.013506086608032711,0.0020598388604535713,0.1131706671355096,0.00021133547611342808,0.07544101931348694,0.3388231863236164,0.004037151544055564,0.023695042364971938,0.00839660062908077,0.049009770231752625,0.024991708324807304,0.0009415091961193198,0.056871135973173836,0.014454549649198173,0.004520408005055589,0.07353445219695147,0.06204524779070962,TARA_S200000501,(DCM) deep chlorophyll maximum layer (ENVO:01000326),Westerlies Biome,(MS) Mediterranean Sea [MRGID:1905],"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]",35.76,14.25,61.6,18.4,37.9,237.9,,0.03,0.01
TARA_018_DCM_<-0.22,0.0071006491016885305,0.012982359396230256,0.000504200918741554,0.03258742233732994,0.03323396572309244,0.0038833169443918615,0.3906476269693486,0.0,0.030794562849026333,0.024531663486042275,0.0023837600623258536,0.028511699701307222,0.02153795190498036,0.0005290701568299621,0.010808956430144205,0.0,0.3042365108952207,0.0021425636878391924,0.01508417068583622,0.07780771845827363,0.0006918302913507579,TARA_A100000172,(DCM) deep chlorophyll maximum layer (ENVO:01000326),Westerlies Biome,(MS) Mediterranean Sea [MRGID:1905],"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]",35.76,14.25,61.6,18.4,37.9,237.9,,0.03,0.01
TARA_018_SRF_0.22-1.6,0.07599340996588767,0.037375760392719115,0.004755782161127277,0.019591442155739647,0.01505820627664875,0.0017353544250010037,0.11035418578435384,0.00014462198866588445,0.07240060012153962,0.3274859529085083,0.006010202785240202,0.022433322161102484,0.00976717818769279,0.04562103953073326,0.025608097576503785,0.0007341901108914353,0.0578906999291112,0.018166786229452874,0.005524165512620175,0.0767085054661025,0.06664049633035815,TARA_A100000164,(SRF) surface water layer (ENVO:00002042),Westerlies Biome,(MS) Mediterranean Sea [MRGID:1905],"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]",35.76,14.26,5.4,21.4,37.9,207.8,,0.02,0.03
TARA_018_SRF_<-0.22,0.018379371756230497,0.04642463459167794,0.007856831792013035,0.07946529772355013,0.08915294277672814,0.006298643408601856,0.0255997750060334,0.0,0.02997515991108902,0.063843478741588,0.025882623772352824,0.06553914333989637,0.023411745931612927,0.007449197001998907,0.05333610302204236,0.0,0.12501939187825947,0.013694229658086312,0.03888800575473898,0.27947711622416793,0.0003063077093319225,TARA_A100000171,(SRF) surface water layer (ENVO:00002042),Westerlies Biome,(MS) Mediterranean Sea [MRGID:1905],"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]",35.76,14.26,5.4,21.4,37.9,207.8,,0.02,0.03
