Score,Model,Data
0.5786461228923212,Latitude,Taxa
0.444206537853586,Latitude,Taxa
0.43938315762560254,Latitude,Taxa
0.5438447199743164,Latitude,Taxa
0.5158943229542747,Latitude,Taxa
0.34142130090573486,Latitude,Taxa
0.4339694798200121,Latitude,Taxa
0.5026377626007473,Latitude,Taxa
0.3535186662159805,Latitude,Taxa
0.17893891867677503,Latitude,Taxa
0.49801812294479475,Latitude,Taxa
0.3338631461654423,Latitude,Taxa
0.5612602450569667,Latitude,Taxa
0.34076744826941474,Latitude,Taxa
0.38639370669742634,Latitude,Taxa
0.46816815968234415,Latitude,Taxa
0.28097640890823117,Latitude,Taxa
0.4462715186864853,Latitude,Taxa
0.5151535775955496,Latitude,Taxa
0.49860582564844647,Latitude,Taxa
0.6539974129427284,Longitude,Taxa
0.8252775485441799,Longitude,Taxa
0.7783645991286452,Longitude,Taxa
0.7678231720568969,Longitude,Taxa
0.6491957772373538,Longitude,Taxa
0.673994725681589,Longitude,Taxa
0.796443255247724,Longitude,Taxa
0.6734179857472311,Longitude,Taxa
0.7402862323317102,Longitude,Taxa
0.5177352894029859,Longitude,Taxa
0.8283958271804461,Longitude,Taxa
0.7648227796052115,Longitude,Taxa
0.5725170582314296,Longitude,Taxa
0.7134813500180008,Longitude,Taxa
0.38353616958833203,Longitude,Taxa
0.7224098373345995,Longitude,Taxa
0.5715409680063608,Longitude,Taxa
0.6226113721921542,Longitude,Taxa
0.7140775811277786,Longitude,Taxa
0.6473413583422039,Longitude,Taxa
0.921990440401309,Depth (m),Taxa
0.8852720469882248,Depth (m),Taxa
0.9607701312304566,Depth (m),Taxa
0.9682014901678986,Depth (m),Taxa
0.9662297928282982,Depth (m),Taxa
0.901609312465674,Depth (m),Taxa
0.9058720100201983,Depth (m),Taxa
0.9420603091860028,Depth (m),Taxa
0.9115340313540984,Depth (m),Taxa
0.8788306921425538,Depth (m),Taxa
0.9165135451223749,Depth (m),Taxa
0.9089941713735682,Depth (m),Taxa
0.9757231590352163,Depth (m),Taxa
0.893822574949956,Depth (m),Taxa
0.8417642995732788,Depth (m),Taxa
0.9644641859371759,Depth (m),Taxa
0.8487328809836318,Depth (m),Taxa
0.913147121134655,Depth (m),Taxa
0.7501502227348964,Depth (m),Taxa
0.9242863620621024,Depth (m),Taxa
0.9043976882218135,Temperature (°C),Taxa
0.7540274412192336,Temperature (°C),Taxa
0.9391969335005776,Temperature (°C),Taxa
0.9408526834183928,Temperature (°C),Taxa
0.915739039753528,Temperature (°C),Taxa
0.7867246030480406,Temperature (°C),Taxa
0.8023627255545968,Temperature (°C),Taxa
0.9063244547708039,Temperature (°C),Taxa
0.9137994662587231,Temperature (°C),Taxa
0.9154939632083473,Temperature (°C),Taxa
0.8973548955261033,Temperature (°C),Taxa
0.9074622365425736,Temperature (°C),Taxa
0.9068233349815148,Temperature (°C),Taxa
0.8459575654237016,Temperature (°C),Taxa
0.9413827971822533,Temperature (°C),Taxa
0.9610872491934838,Temperature (°C),Taxa
0.9049945832046736,Temperature (°C),Taxa
0.958805482686655,Temperature (°C),Taxa
0.9286352611910459,Temperature (°C),Taxa
0.6868115514885749,Temperature (°C),Taxa
0.3277927219923128,Salinity (PSU),Taxa
0.49538057390879287,Salinity (PSU),Taxa
0.4371400766105664,Salinity (PSU),Taxa
0.5846047552423288,Salinity (PSU),Taxa
0.38195826354175677,Salinity (PSU),Taxa
0.5776944869793782,Salinity (PSU),Taxa
0.266547309626472,Salinity (PSU),Taxa
0.38762250535167586,Salinity (PSU),Taxa
0.2683680753831492,Salinity (PSU),Taxa
0.41217966370191916,Salinity (PSU),Taxa
0.5680041439014978,Salinity (PSU),Taxa
0.5731536778008629,Salinity (PSU),Taxa
0.5418249889327115,Salinity (PSU),Taxa
0.5223942341040545,Salinity (PSU),Taxa
0.27258492906269893,Salinity (PSU),Taxa
0.16217430159239798,Salinity (PSU),Taxa
0.34085842345236084,Salinity (PSU),Taxa
0.5851355370900713,Salinity (PSU),Taxa
0.5181897886835688,Salinity (PSU),Taxa
0.2284045745316251,Salinity (PSU),Taxa
0.8517261566344231,Oxygen (µmol/kg),Taxa
0.4777470741867128,Oxygen (µmol/kg),Taxa
0.77005883789422,Oxygen (µmol/kg),Taxa
0.8689314128647745,Oxygen (µmol/kg),Taxa
0.9363143845050893,Oxygen (µmol/kg),Taxa
0.7525831810484678,Oxygen (µmol/kg),Taxa
0.8978425951749095,Oxygen (µmol/kg),Taxa
0.6515190045933447,Oxygen (µmol/kg),Taxa
0.605299012145978,Oxygen (µmol/kg),Taxa
0.5043091111452702,Oxygen (µmol/kg),Taxa
0.8684716420623508,Oxygen (µmol/kg),Taxa
0.9046497090734338,Oxygen (µmol/kg),Taxa
0.7523019909189861,Oxygen (µmol/kg),Taxa
0.6015034023346868,Oxygen (µmol/kg),Taxa
0.8910409835230384,Oxygen (µmol/kg),Taxa
0.8191438318155421,Oxygen (µmol/kg),Taxa
0.6954829791236526,Oxygen (µmol/kg),Taxa
0.038668880786226656,Oxygen (µmol/kg),Taxa
0.8678068970657584,Oxygen (µmol/kg),Taxa
0.6959925114930983,Oxygen (µmol/kg),Taxa
0.779836819282,Nitrates (µmol/L),Taxa
